disease,precaution
acne,"['Wash face twice daily', 'Avoid oily/spicy foods', 'Drink plenty of water', 'Use non-comedogenic skincare']"
actinic_keratosis,"['Limit sun exposure', 'Use sunscreen regularly', 'Wear protective clothing', 'Consult dermatologist for suspicious lesions']"
benign_tumors,"['Monitor for changes', 'Avoid unnecessary trauma', 'Maintain healthy lifestyle', 'Seek medical advice if growth changes']"
bullous,"['Protect blisters from rupture', 'Maintain good hygiene', 'Avoid scratching or friction', 'Consult doctor for severe cases']"
candidiasis,"['Keep affected area dry', 'Wear breathable clothing', 'Maintain good hygiene', 'Avoid excessive sugar intake']"
drug_eruption,"['Stop suspected medication', 'Consult nearest hospital', 'Avoid self-medication', 'Follow up with doctor']"
eczema,"['Moisturize skin daily', 'Avoid harsh soaps', 'Wear soft cotton clothing', 'Identify and avoid triggers']"
infestations_bites,"['Use insect repellents', 'Avoid scratching bites', 'Maintain clean environment', 'Seek medical care if severe']"
lichen,"['Avoid scratching lesions', 'Maintain good hygiene', 'Use mild soaps', 'Consult dermatologist for persistent lesions']"
lupus,"['Avoid direct sunlight', 'Use sunscreen', 'Manage stress', 'Regular medical check-ups']"
moles,"['Monitor for changes in size/color', 'Avoid excessive sun exposure', 'Use sunscreen', 'Consult dermatologist if suspicious']"
psoriasis,"['Keep skin moisturized', 'Avoid triggers like stress', 'Take warm salt baths', 'Consult doctor for flare-ups']"
rosacea,"['Avoid spicy foods and alcohol', 'Protect skin from sun', 'Use gentle skincare', 'Consult dermatologist for persistent redness']"
seborrh_keratoses,"['Avoid scratching lesions', 'Maintain good hygiene', 'Use sunscreen', 'Seek medical advice if growth changes']"
skin_cancer,"['Avoid prolonged sun exposure', 'Use sunscreen', 'Wear protective clothing', 'Consult doctor for new or changing lesions']"
sun_sunlight_damage,"['Limit sun exposure', 'Use sunscreen regularly', 'Wear hats and protective clothing', 'Stay hydrated']"
tinea,"['Keep affected area dry', 'Avoid sharing personal items', 'Wear breathable clothing', 'Use antifungal powder if prone']"
unknown_normal,"['Maintain healthy lifestyle', 'Practice good hygiene', 'Use sunscreen', 'Seek medical advice if concerned']"
vascular_tumors,"['Monitor lesion size', 'Avoid trauma to affected area', 'Maintain healthy lifestyle', 'Consult specialist if growth changes']"
vasculitis,"['Avoid smoking and alcohol', 'Maintain healthy diet', 'Manage stress', 'Consult doctor regularly']"
vitiligo,"['Use sunscreen on affected areas', 'Avoid skin trauma', 'Manage stress', 'Consult dermatologist for treatment options']"
warts,"['Avoid scratching or picking', 'Do not share personal items', 'Maintain good hygiene', 'Consult doctor for removal options']"
